op_id,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,StageW,StageR1,StageR2,StageR3,StageR,RTT
72057594038000658,1276,2784,138,10382,4312,4450,23342,5548,3112,36,8696,14646
72057594038001592,1262,2674,170,10784,3968,4468,23326,5512,2970,34,8516,14810
72057594038001624,1264,2776,462,11818,3916,4416,24652,6214,3430,38,9682,14970
72057594038001805,1248,2526,304,19216,3820,4538,31652,5762,11182,38,16982,14670
72057594038001816,1264,2532,118,10956,3858,4432,23160,4338,3114,34,7486,15674
72057594038001939,1262,2530,130,10984,3868,4524,23298,4312,3510,36,7858,15440
72057594038001942,1260,2604,166,11484,3954,4396,23864,5610,3018,36,8664,15200
72057594038002621,1258,2592,166,10916,4202,4380,23514,6320,3028,36,9384,14130
72057594038002702,1260,2504,242,10678,3812,4474,22970,5836,3420,38,9294,13676
72057594038002892,1252,2616,252,15116,3900,4508,27644,11288,3158,36,14482,13162
72057594038003260,1254,2702,352,10590,3962,4504,23364,4362,3286,36,7684,15680
72057594038003457,1264,2488,296,11338,3880,4360,23626,4682,3140,36,7858,15768
72057594038003822,1266,2696,58,11266,4008,4448,23742,5540,3056,40,8636,15106
72057594038003923,1270,2514,9026,11988,3958,4526,33282,14704,3100,40,17844,15438
72057594038003996,1262,2720,276,12152,4184,4446,25040,5544,3164,36,8744,16296
72057594038005006,1270,2522,274,12046,3796,4456,24364,5806,3416,42,9264,15100
72057594038005190,1262,2688,292,12166,4172,5252,25832,5480,3046,38,8564,17268
72057594038005346,1248,2692,272,11984,4332,5294,25822,5520,3084,40,8644,17178
72057594038005576,1258,2758,238,10422,4250,4408,23334,5444,3114,40,8598,14736
72057594038005811,1260,2684,254,11686,4136,4678,24698,5518,2966,38,8522,16176
72057594038006427,1286,2708,296,12006,4190,4448,24934,5652,3388,38,9078,15856
72057594038006432,1268,2784,278,11218,4100,4396,24044,5436,2794,36,8266,15778
72057594038006609,1268,3232,122,12274,4276,4378,25550,7126,2936,34,10096,15454
72057594038007362,1258,2548,524,10432,3916,4316,22994,5628,3304,38,8970,14024
72057594038007693,1260,2508,340,11322,3826,4376,23632,5606,2802,38,8446,15186
72057594038007739,1260,2516,404,10846,3700,4424,23150,5604,3172,36,8812,14338
72057594038007879,1256,2776,182,12100,4146,4416,24876,6154,2906,38,9098,15778
72057594038008135,1264,2768,252,10698,4104,4402,23488,4706,2828,36,7570,15918
72057594038008188,1282,2506,180,10994,3774,4382,23118,4454,3054,40,7548,15570
72057594038008645,1244,2664,294,10198,4150,4496,23046,5778,3088,38,8904,14142
72057594038008672,1266,2736,300,10356,4232,4370,23260,5400,3046,40,8486,14774
72057594038008741,1254,2528,242,10128,3918,4434,22504,4332,2998,36,7366,15138
72057594038008823,1262,2664,428,11062,4008,4420,23844,5760,3206,36,9002,14842
72057594038009018,1254,2730,330,10488,4118,5352,24272,4462,2930,36,7428,16844
72057594038009627,1248,2698,188,10712,4162,4456,23464,5448,3018,36,8502,14962
72057594038010045,1264,2598,280,12382,3916,4438,24878,6272,3388,36,9696,15182
72057594038010349,1362,2722,114,10964,3988,4510,23660,5552,3526,36,9114,14546
72057594038010993,1904,2618,302,11600,4036,4720,25180,5750,3116,36,8902,16278
72057594038011248,1258,2546,162,13192,3728,4386,25272,11124,3202,36,14362,10910
72057594038011281,1260,2794,322,10332,4238,4370,23316,5462,3096,38,8596,14720
72057594038011430,1262,2542,256,10392,3762,5314,23528,4690,3068,50,7808,15720
72057594038011768,1252,2684,336,11944,4126,4402,24744,5418,3032,36,8486,16258
72057594038012101,1254,2666,178,10756,4082,4502,23438,5540,3012,38,8590,14848
72057594038012163,1250,2782,146,11968,4966,4684,25796,5516,3636,38,9190,16606
72057594038012391,1270,2624,552,10618,4172,4294,23530,5782,3176,38,8996,14534
72057594038012525,1262,2726,332,18876,4100,4450,31746,6860,2966,36,9862,21884
72057594038012527,1276,2472,192,10802,3966,4464,23172,4242,3154,34,7430,15742
72057594038012794,1264,2718,174,12076,3964,4558,24754,6714,3798,38,10550,14204
72057594038012969,1272,2554,320,11870,3826,4460,24302,6392,3494,36,9922,14380
72057594038012973,1264,2686,138,12568,4206,4670,25532,5514,3018,38,8570,16962
72057594038013416,1264,2656,330,11348,4000,4402,24000,5606,3352,36,8994,15006
72057594038013821,1270,2604,332,12532,4006,4382,25126,6156,2992,36,9184,15942
72057594038014789,1250,2688,246,11804,4168,4490,24646,5544,3166,36,8746,15900
72057594038014989,1302,2504,172,10248,3874,4388,22488,4260,3196,36,7492,14996
72057594038015408,1262,2564,140,11678,3992,4486,24122,5728,2814,36,8578,15544
72057594038015584,1264,2720,118,11958,4252,4380,24692,4044,3078,48,7170,17522
72057594038016027,1264,2704,122,15366,4174,4398,28028,12140,3240,36,15416,12612
72057594038016427,1260,2758,290,11644,4286,4526,24764,5436,3318,36,8790,15974
72057594038016497,1258,2594,186,11614,3954,4534,24140,5746,2858,40,8644,15496
72057594038016596,1266,2528,180,10416,3886,4340,22616,4312,3342,40,7694,14922
72057594038016657,1264,2790,278,11902,4202,4396,24832,6840,3440,36,10316,14516
72057594038016816,1262,2518,316,19942,3912,4408,32358,4346,11634,38,16018,16340
72057594038016872,1274,2562,188,11082,3828,4470,23404,5604,3496,12992,22092,1312
72057594038016899,1262,2728,62,12194,4206,4540,24992,5384,3134,38,8556,16436
72057594038017232,1262,2700,182,12278,4008,4368,24798,6160,2992,34,9186,15612
72057594038017299,1260,2768,120,10960,3908,4396,23412,4282,2878,36,7196,16216
72057594038017680,1274,2662,274,10576,4112,4372,23270,5994,3248,36,9278,13992
72057594038017844,1258,2852,112,11564,4052,4310,24148,6220,3026,38,9284,14864
72057594038017888,1272,2722,136,12036,4840,4632,25638,5506,3540,36,9082,16556
72057594038018802,1252,2610,112,11512,4026,4506,24018,5648,3324,38,9010,15008
72057594038019145,1254,2660,240,10636,4174,4338,23302,5416,3074,36,8526,14776
72057594038019204,1254,2786,250,11206,4166,4280,23942,6166,2996,36,9198,14744
72057594038019294,8980,2712,344,10788,3972,4294,31090,5284,2938,36,8258,22832
72057594038020158,1262,2620,328,10096,3928,4360,22594,4494,3040,40,7574,15020
72057594038020180,1254,2534,126,12448,3870,4458,24690,5674,3300,38,9012,15678
72057594038020541,1312,2592,322,10902,3878,4440,23446,4348,3308,36,7692,15754
72057594038020628,1260,2542,296,12030,3714,4500,24342,6042,3128,36,9206,15136
72057594038020879,1252,2744,296,11722,4082,4366,24462,5870,3374,36,9280,15182
72057594038020909,1258,2662,190,10590,4930,4626,24256,5522,3252,36,8810,15446
72057594038020975,1242,2638,298,12640,3958,5228,26004,5580,3026,36,8642,17362
72057594038021137,1256,2768,64,11272,4156,4470,23986,5414,3190,36,8640,15346
72057594038021220,1252,2566,160,10520,3802,4342,22642,4268,3166,36,7470,15172
72057594038021370,1256,2742,244,10956,4044,4486,23728,6680,3066,40,9786,13942
72057594038021405,1268,2734,178,10892,11282,4540,30894,5384,3054,40,8478,22416
72057594038021690,1256,2764,116,10374,4288,4394,23192,5518,3134,36,8688,14504
72057594038021841,1260,2786,250,13646,4274,4498,26714,10918,3146,36,14100,12614
72057594038021926,1254,2510,278,10602,3746,5292,23682,4594,3360,38,7992,15690
72057594038022048,1270,2776,250,13128,4098,4500,26022,12548,3126,36,15710,10312
72057594038022230,1266,2616,274,12014,3892,4394,24456,5908,3118,36,9062,15394
72057594038022349,1264,2548,184,12298,3790,4394,24478,5640,3448,36,9124,15354
72057594038022457,1254,2764,276,12652,4270,4490,25706,10878,3084,38,14000,11706
72057594038022461,1264,2598,198,11822,3874,4416,24172,5602,3248,38,8888,15284
72057594038022565,1264,2546,298,11162,3898,4414,23582,5794,3048,36,8878,14704
72057594038022652,1250,2532,278,10858,3880,4388,23186,5854,3060,38,8952,14234
72057594038023368,1256,2810,316,10102,4232,4346,23062,5440,3118,36,8594,14468
72057594038024882,1254,2580,182,11868,3782,4524,24190,4994,3244,34,8272,15918
72057594038024934,1252,2502,146,11354,3922,4886,24062,5598,2924,36,8558,15504
72057594038025188,1250,2598,272,10668,3902,11892,30582,5674,3206,38,8918,21664
72057594038025573,1252,2526,174,12052,4006,4472,24482,5822,2938,36,8796,15686
72057594038025654,1260,2888,330,11250,4166,4428,24322,6282,3140,38,9460,14862
72057594038025850,1262,2728,150,10594,3960,4390,23084,5292,2986,36,8314,14770
72057594038026065,1250,2744,296,10658,4308,4456,23712,5338,3168,38,8544,15168
72057594038026230,1264,2748,64,11986,4232,4526,24820,6872,3594,36,10502,14318
72057594038026474,1256,2528,298,10838,3788,4456,23164,4898,3088,36,8022,15142
72057594038026691,1260,2802,134,12484,4472,4808,25960,7024,3704,36,10764,15196
72057594038026944,1286,2576,334,11858,3812,4420,24286,5574,3336,36,8946,15340
72057594038026989,1256,2708,242,10962,3976,4492,23636,5458,2992,38,8488,15148
72057594038026994,1292,11616,296,11534,4010,4426,33174,14178,3024,36,17238,15936
72057594038027290,1266,2658,110,10756,3860,4392,23042,4220,3190,36,7446,15596
72057594038027493,1258,2934,282,11958,3952,4472,24856,5870,3294,36,9200,15656
