op_id,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,StageW,StageR1,StageR2,StageR3,StageR,RTT
72057594037928071,1488,2566,300,622066,2760,9182,638362,7650,1400,38,9088,629274
72057594037928100,1138,2480,188,650996,2862,8182,665846,7498,1442,38,8978,656868
72057594037928215,1126,2506,152,487940,2738,7992,502454,6996,1364,38,8398,494056
72057594037928291,1104,2536,136,479336,3562,8738,495412,7036,1448,40,8524,486888
72057594037928406,1218,2412,142,470170,2820,7770,484532,7874,1392,40,9306,475226
72057594037929204,1090,2270,520,482126,3696,7628,497330,6910,1434,40,8384,488946
72057594037927939,1110,2390,290,676212,3934,18798,702734,19578,20484,46,40108,662626
72057594037927986,1506,2376,178,669732,2976,8056,684824,7456,1488,38,8982,675842
72057594037928202,1128,2206,136,461528,2882,8318,476198,7356,1394,38,8788,467410
72057594037928279,1490,2266,334,483750,3512,8216,499568,7722,1284,42,9048,490520
72057594037928286,1102,2422,122,459204,3646,8140,474636,7006,1314,42,8362,466274
72057594037928526,1304,2300,180,475682,3716,8170,491352,7770,1296,40,9106,482246
72057594037928599,1384,2354,340,490100,2818,3878,500874,7538,1280,38,8856,492018
72057594037929412,764,2174,182,497648,2866,8446,512080,6412,1524,38,7974,504106
72057594037929463,208,2250,128,464204,2740,8042,477572,5158,1318,38,6514,471058
72057594037927986,1116,2518,76,697954,3626,17912,723202,7456,1488,38,8982,714220
72057594037928031,1148,2332,262,669808,2588,7928,684066,7552,3320,42,10914,673152
72057594037928069,1164,2362,348,617738,3754,7864,633230,13860,8218,40,22118,611112
72057594037928250,1080,2440,336,493320,2960,8128,508264,7284,1298,40,8622,499642
72057594037928322,1108,2280,188,469428,3506,7742,484252,6874,1342,36,8252,476000
72057594037928383,1084,2440,142,491164,2866,8244,505940,7296,1426,38,8760,497180
72057594037928596,2084,2336,374,480038,3274,8412,496518,6842,1296,38,8176,488342
72057594037928971,1204,2486,282,475786,3704,7830,491292,6894,1422,38,8354,482938
72057594037929183,1150,2470,308,478696,2750,7644,493018,7010,1316,36,8362,484656
72057594037928171,1208,2406,284,498490,2612,17258,522258,7610,2284,38,9932,512326
72057594037928257,1106,2346,188,472886,2766,8174,487466,7048,1342,38,8428,479038
72057594037929029,440,2194,1372,480104,2622,8858,495590,7658,1304,36,8998,486592
72057594037928147,1136,2624,400,617984,3582,8086,633812,7734,1428,38,9200,624612
72057594037928171,1126,2504,256,488070,2656,9062,503674,7610,2284,38,9932,493742
72057594037928434,1142,2476,318,479898,3634,7198,494666,7270,1250,36,8556,486110
72057594037928210,1132,2446,126,454480,2604,17812,478600,6824,1566,36,8426,470174
72057594037928222,1150,2400,220,462998,2754,7808,477330,7964,1278,40,9282,468048
72057594037928571,1124,2474,312,485336,3720,7166,500132,7878,1404,38,9320,490812
72057594037928733,2058,2622,132,465072,2762,8104,480750,7244,1464,40,8748,472002
72057594037928770,1112,2352,320,454350,2754,7350,468238,6920,1326,38,8284,459954
72057594037929219,1116,2380,330,487944,2638,7710,502118,7444,1536,38,9018,493100
72057594037929454,1126,2456,270,470294,3678,8212,486036,5420,1298,36,6754,479282
72057594037928325,1122,2306,184,471022,3736,19064,497434,7346,1254,38,8638,488796
72057594037928411,880,2340,312,480160,3728,8904,496324,15692,1552,38,17282,479042
72057594037928617,1272,2490,270,475368,2812,8576,490788,7202,2308,40,9550,481238
72057594037928619,1174,2448,76,471352,2714,4000,481764,7600,1320,36,8956,472808
72057594037928736,1100,2354,346,471166,3794,8594,487354,7600,1400,42,9042,478312
72057594037929124,1092,2196,334,475564,2582,7338,489106,7286,2090,42,9418,479688
72057594037929460,1114,2798,680,477582,3626,8112,493912,5270,1246,36,6552,487360
72057594037927972,1092,2208,324,606698,3420,16870,630612,7716,1384,44,9144,621468
72057594037928169,1106,2254,192,676264,3406,6910,690132,7520,1916,40,9476,680656
72057594037929020,1096,2824,284,459558,2896,7620,474278,6900,1430,42,8372,465906
72057594037929027,1082,2464,298,487228,3608,7830,502510,7704,1360,42,9106,493404
72057594037929183,1210,2346,356,476888,2530,7908,491238,7010,1316,36,8362,482876
72057594037929413,1098,2444,180,485884,3754,7688,501048,5662,1422,38,7122,493926
72057594037929416,1132,2294,324,460444,3662,7888,475744,5222,1286,42,6550,469194
72057594037929451,1108,2434,134,479838,3708,8838,496060,6288,1324,40,7652,488408
72057594037927949,1088,2288,314,673176,2682,17336,696884,7604,1418,42,9064,687820
72057594037928138,1256,2730,260,714046,3530,7364,729186,7814,1394,38,9246,719940
72057594037928368,1076,2272,266,465014,3018,6932,478578,6836,1310,40,8186,470392
72057594037928765,1080,2366,324,465278,2898,7058,479004,6916,1456,40,8412,470592
72057594037928780,1322,2364,224,480790,2690,7910,495300,6952,1376,38,8366,486934
72057594037928844,1166,2814,284,501758,3696,7696,517414,6842,1436,40,8318,509096
72057594037929110,3064,2592,130,467110,2674,3712,479282,7658,1384,38,9080,470202
72057594037929396,1078,2370,210,477200,4382,7362,492602,5302,1250,38,6590,486012
72057594037928078,1096,2314,124,682114,2636,7862,696146,7692,1460,42,9194,686952
72057594037928147,1102,2294,76,499638,3418,7704,514232,7734,1428,38,9200,505032
72057594037928162,1188,2442,654,675768,2720,7842,690614,7692,1492,38,9222,681392
72057594037928208,1262,12788,322,456538,2810,7006,480726,7220,1424,40,8684,472042
72057594037928362,1106,2390,280,472744,2726,2798,482044,7622,1338,40,9000,473044
72057594037928367,1116,2240,76,470324,2670,7940,484366,7224,3302,38,10564,473802
72057594037928658,1116,2200,330,459938,3696,7532,474812,6894,1310,36,8240,466572
72057594037928065,1128,2710,304,745596,3578,19060,772376,7492,1406,38,8936,763440
72057594037928452,1150,2476,182,465376,2572,7488,479244,6806,1426,38,8270,470974
72057594037928769,1154,2370,322,470268,2694,7706,484514,7086,1350,44,8480,476034
72057594037929489,992,2228,308,440780,2686,8126,455120,5002,1432,38,6472,448648
72057594037928205,1130,2390,338,481342,3512,18016,506728,7054,1402,36,8492,498236
72057594037928585,1130,2642,272,468672,3740,7582,484038,7828,1602,40,9470,474568
72057594037928631,1168,2502,334,471254,2658,7912,485828,7344,1410,36,8790,477038
72057594037928765,1120,2580,432,483660,3660,6894,498346,6916,1456,40,8412,489934
72057594037928966,1232,2434,316,469072,3668,7222,483944,6898,1256,36,8190,475754
72057594037929010,1158,2486,324,631488,3558,6896,645910,6862,1256,38,8156,637754
72057594037929359,1140,2462,318,462648,3458,4678,474704,5442,1426,40,6908,467796
72057594037927953,1326,2740,214,560980,2790,18536,586586,8694,3862,44,12600,573986
72057594037928247,1308,2582,78,468894,2926,8404,484192,3680,1448,38,5166,479026
72057594037928267,1344,2550,254,476116,2720,7786,490770,7184,1318,38,8540,482230
72057594037928988,1172,2518,302,474390,2714,8332,489428,6982,1420,36,8438,480990
72057594037929122,1172,2486,302,466320,3754,3896,477930,7492,1270,38,8800,469130
72057594037928305,1102,2990,178,467396,2998,8354,483018,7172,1276,38,8486,474532
72057594037929201,1156,2448,130,470732,4208,8240,486914,6834,1336,38,8208,478706
72057594037929341,1370,2250,424,473514,3762,8160,489480,5364,1330,38,6732,482748
72057594037929363,1156,2540,194,471844,3732,8030,487496,7020,1396,40,8456,479040
72057594037928263,1060,2404,316,473038,2878,18952,498648,7538,1340,36,8914,489734
72057594037928440,1104,2248,124,478906,2642,7424,492448,6804,1324,36,8164,484284
72057594037928510,1286,2300,324,468452,4188,3994,480544,7142,1404,38,8584,471960
72057594037927983,1132,2384,164,728412,3428,17626,753146,7820,1484,38,9342,743804
72057594037928606,606,2442,316,475150,3812,8062,490388,7564,1700,36,9300,481088
72057594037928631,1146,2748,282,480874,2836,7918,495804,7344,1410,36,8790,487014
72057594037928658,1132,2446,328,472020,3764,5176,484866,6894,1310,36,8240,476626
72057594037928761,1120,2470,306,471480,2846,7924,486146,7278,1270,42,8590,477556
72057594037928892,1100,2346,296,473728,4034,7898,489402,7826,1372,38,9236,480166
72057594037929452,1140,2476,136,471754,3924,7104,486534,5072,1374,38,6484,480050
72057594037927991,1176,2380,276,671804,3604,17490,696730,7604,1512,40,9156,687574
72057594037928131,1114,2256,130,656906,2646,7528,670580,7732,1420,42,9194,661386
72057594037928832,1110,2492,74,483354,3776,7182,497988,6868,1390,40,8298,489690
72057594037929237,1144,2392,304,461276,2856,8644,476616,7160,1372,38,8570,468046
72057594037929241,1120,2410,240,476560,2946,8524,491800,7022,1306,36,8364,483436
72057594037929326,1110,2394,260,464626,3650,7196,479236,4106,1298,38,5442,473794
72057594037929380,418,2270,416,484994,2874,8130,499102,3946,1316,36,5298,493804
72057594037928018,1176,2448,134,643944,2738,17720,668160,7838,1422,38,9298,658862
72057594037928479,1182,2460,326,473854,4060,7310,489192,6882,1234,38,8154,481038
72057594037928569,1158,2496,132,473524,2696,8056,488062,7110,1306,40,8456,479606
72057594037928087,1108,2162,328,485122,3432,17680,509832,7544,5062,38,12644,497188
72057594037928213,724,2442,258,477008,3798,6904,491134,6658,1666,40,8364,482770
72057594037928291,1158,2454,180,460320,3412,3750,471274,7036,1448,40,8524,462750
72057594037928513,1084,2264,176,469874,2496,8014,483908,7038,1438,36,8512,475396
72057594037928721,1090,2304,270,474456,2658,7802,488580,6788,1530,38,8356,480224
72057594037928806,1072,2476,336,473940,3918,7858,489600,7092,1288,38,8418,481182
72057594037929148,1074,2316,284,473498,3688,3024,483884,7300,1392,36,8728,475156
72057594037929175,1096,2224,122,477106,3508,7972,492028,7716,1580,36,9332,482696
72057594037929288,1072,2440,282,484392,3832,7924,499942,5322,1292,36,6650,493292
72057594037927940,1240,2788,446,503010,2836,4140,514460,23114,1550,44,24708,489752
72057594037928328,1098,2486,292,475532,3020,4014,486442,6796,1514,38,8348,478094
72057594037928721,1100,2464,284,475186,3752,3944,486730,6788,1530,38,8356,478374
72057594037928993,1104,2472,11458,479216,2978,3938,501166,7372,1280,40,8692,492474
72057594037929241,1104,2344,270,484460,2712,3812,494702,7022,1306,36,8364,486338
72057594037927949,1120,2388,264,633862,3486,17646,658766,7604,1418,42,9064,649702
72057594037928857,1124,2332,294,475770,3762,8164,491446,6982,1274,38,8294,483152
72057594037927982,1122,2390,654,812524,2826,17748,837264,7582,1392,38,9012,828252
72057594037928023,1182,2428,150,735530,2816,7348,749454,13966,1432,36,15434,734020
72057594037928997,1110,2424,256,480244,2560,8736,495330,7858,1306,38,9202,486128
